"","Q7","Q10","Q11","Q16","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q28","Q29","Q30","Q31","Q32","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q42","Q43","Q44","Q45","Q47","Q49","Q50","Q51","Q52","Q53","Q54","Q56","Q57","Q58","Q59","Q60","Q62","Q63","Q64","Q65","Q66","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q76","Q77","Q78","Q79","Q80","Q81"
"575",3,1,2,1,4,5,1,2,5,1,2,5,1,1,1,1,1,4,2,4,5,2,4,5,1,1,1,2,3,1,1,1,1,2,3,4,3,1,3,1,1,3,1,3,1,4,1,4,3,5,1,3,3,1,4,4,3,4,1
"576",1,2,4,1,3,2,1,1,4,1,2,3,1,1,3,1,2,1,2,4,3,4,3,3,1,2,2,2,2,1,1,1,4,1,2,2,2,3,2,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577",4,2,3,1,4,2,4,1,4,1,3,4,2,1,3,3,1,3,3,4,4,4,4,5,2,2,3,4,4,1,1,1,5,1,3,3,4,3,4,1,1,3,2,1,3,4,4,2,4,5,1,2,2,3,4,2,3,4,1
"578",4,1,4,1,4,1,1,4,4,4,1,5,1,3,1,1,1,2,4,3,3,3,3,4,4,3,3,3,5,3,3,1,1,1,4,3,3,1,4,3,1,3,1,3,1,3,1,3,1,3,1,3,3,4,1,3,1,3,2
"579",3,1,1,1,3,3,1,1,4,2,1,2,1,1,2,1,1,3,1,4,2,3,3,4,2,2,1,1,2,2,1,2,1,2,1,3,2,1,3,2,2,1,2,1,1,3,1,4,2,3,1,4,2,1,2,3,2,4,1
"580",5,5,4,1,5,4,4,5,5,5,5,5,1,1,5,5,4,5,5,5,5,5,4,3,5,5,3,4,1,3,1,1,1,3,4,5,4,3,4,1,1,5,4,3,4,5,1,4,1,5,1,1,4,4,4,4,1,5,2
"581",3,1,4,1,4,1,1,1,4,3,1,5,1,2,3,3,1,4,2,5,5,3,5,3,3,2,2,2,3,2,1,4,2,2,1,5,4,3,3,1,1,3,3,1,1,3,1,3,2,3,1,4,4,3,5,4,3,4,3
"582",2,3,2,1,5,3,1,2,4,1,1,4,1,2,3,2,1,3,3,5,2,1,1,1,2,3,1,4,4,1,2,4,2,1,2,5,4,1,3,2,1,1,3,3,2,5,1,4,3,3,1,3,3,3,3,4,3,3,1
"583",3,2,4,4,4,2,4,4,5,4,1,4,1,2,4,4,2,3,3,4,4,4,3,4,3,3,3,3,4,2,3,2,1,3,4,4,3,4,4,3,1,3,2,2,1,4,2,2,2,3,2,3,3,3,3,3,3,3,2
"584",1,4,1,1,3,1,3,3,4,3,1,4,1,1,2,1,1,3,2,4,3,1,2,5,3,1,1,3,3,2,1,1,4,1,1,4,4,1,3,1,1,1,3,2,1,1,1,3,3,4,2,1,4,4,3,2,3,3,1
"585",3,2,2,1,3,3,1,1,3,1,2,3,1,1,3,1,2,3,3,3,3,3,2,3,3,2,1,3,2,1,1,3,2,2,1,3,2,2,3,2,1,3,2,2,1,3,2,3,2,3,1,3,2,2,3,3,2,4,3
"586",2,2,2,3,3,3,3,2,4,1,3,3,1,2,3,1,3,3,3,4,2,3,2,3,1,3,1,2,1,1,3,1,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,3,2,1,1,2,1
"587",2,1,2,1,1,1,1,1,3,1,1,3,1,1,1,2,1,1,2,2,1,1,2,3,3,2,1,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,2,2,1,1,2,2,1,1,1,3,2,1
"588",2,1,3,1,4,3,2,1,3,2,2,4,1,1,3,2,2,3,4,3,1,4,3,3,1,3,3,2,2,1,1,1,4,1,2,4,3,4,2,2,1,2,3,1,2,3,2,4,2,3,3,2,4,3,3,3,2,4,2
"589",3,1,3,1,4,1,1,2,4,3,3,4,3,1,4,2,1,3,3,4,4,4,2,3,1,1,1,2,3,1,2,3,2,3,4,4,4,1,3,2,1,4,2,3,1,4,1,3,3,4,2,1,4,3,3,3,3,4,2
"590",1,1,1,1,1,2,1,1,2,1,1,3,1,1,3,1,1,1,1,2,1,2,1,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,2,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,3,2
"591",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"592",5,1,2,1,3,2,2,3,5,1,3,3,1,1,1,1,1,2,1,4,2,4,2,3,3,2,1,1,1,1,2,1,1,1,NA,4,3,2,3,1,1,2,2,1,1,3,1,4,2,3,2,4,2,4,4,5,4,3,1
"593",2,1,2,1,4,1,1,1,4,2,2,4,2,2,2,1,1,2,4,3,2,2,3,3,1,3,2,3,2,2,2,1,1,1,3,3,4,1,3,2,1,4,3,1,1,4,1,3,1,3,1,1,1,2,3,2,3,2,2
"594",3,1,3,2,4,1,4,2,4,1,2,3,1,3,4,4,1,3,3,4,2,4,4,3,2,4,1,1,5,1,2,3,4,1,5,3,3,2,1,1,2,2,4,4,2,4,3,4,2,4,1,1,4,4,5,2,3,3,1
"595",3,2,3,1,2,2,3,1,4,1,1,3,1,3,3,2,2,4,2,3,3,3,3,2,3,3,2,2,3,1,1,1,4,1,1,3,3,1,1,1,1,2,1,1,1,3,2,4,2,4,1,4,3,4,4,4,3,3,2
"596",4,3,4,3,4,2,3,2,2,5,2,4,3,2,4,3,3,5,3,5,5,5,3,5,3,4,4,3,3,5,2,1,4,4,2,3,4,4,4,3,1,2,3,3,4,5,2,3,3,3,2,4,3,3,4,4,3,4,3
"597",5,2,5,2,3,3,4,4,3,2,4,5,2,5,2,5,2,5,4,5,5,3,5,5,4,3,3,3,5,1,4,1,4,3,4,5,5,5,4,2,1,5,3,2,2,5,2,5,4,5,3,4,3,5,5,3,4,5,2
"598",4,2,2,1,4,4,1,2,5,1,1,3,1,4,5,2,1,3,2,4,3,4,5,3,3,3,2,3,4,1,3,3,2,2,4,4,3,3,3,3,3,2,2,3,3,5,3,3,2,4,1,3,2,1,4,3,1,2,3
"599",2,1,3,3,2,2,1,3,2,2,2,4,1,3,3,2,4,3,1,2,2,3,2,1,1,3,2,3,4,1,1,1,2,2,2,3,3,1,3,2,1,1,3,2,2,3,2,3,2,2,2,2,3,3,3,3,2,4,1
"600",5,4,4,4,4,4,3,3,5,4,4,5,2,1,5,4,3,4,4,5,4,5,4,5,2,4,3,4,2,2,1,3,4,3,2,5,4,4,1,1,1,1,3,2,2,5,3,5,4,5,1,4,5,4,5,4,4,4,2
"601",1,1,2,1,4,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,1,2,3,1,1,2,2,4,1,1,1,2,1,2,4,2,1,2,1,1,3,1,1,1,2,1,4,3,4,1,3,3,4,3,3,3,4,1
"602",3,1,3,4,4,1,3,2,5,5,1,4,1,1,1,5,1,5,3,5,4,5,4,4,1,2,2,1,3,1,1,4,1,2,3,4,4,4,2,1,1,1,2,1,2,5,3,4,1,1,1,4,5,5,3,5,3,4,1
"603",5,4,5,3,4,4,4,5,5,1,4,5,1,5,5,4,1,3,5,5,5,5,5,5,2,4,4,5,5,1,5,4,3,3,1,5,5,5,3,4,1,2,4,3,1,4,4,2,2,3,1,4,4,1,5,5,2,5,3
"604",2,1,3,1,3,1,1,2,5,1,4,5,1,3,3,1,1,3,4,5,3,4,4,5,3,1,1,3,5,1,1,1,5,1,2,3,5,4,4,3,1,1,4,1,1,4,3,4,3,4,2,5,4,4,4,4,3,4,1
"605",4,5,3,3,1,4,5,1,5,3,4,3,1,5,5,3,5,5,1,2,2,5,4,4,4,4,3,4,4,1,3,5,1,4,1,4,5,1,4,5,1,2,4,3,4,5,4,3,3,5,2,5,4,5,5,5,3,5,4
"606",3,5,1,4,5,4,5,2,5,3,5,5,4,4,4,3,2,5,4,5,3,5,5,5,3,3,2,3,3,1,4,5,5,3,3,4,4,4,3,3,2,3,4,4,1,5,2,5,2,4,1,3,5,4,5,3,2,5,1
"607",1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"608",4,1,1,1,1,1,1,1,4,1,1,3,2,2,1,1,1,2,1,1,1,3,4,3,1,2,2,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,3,1,3,2,2,2,4,3,3,1,3,2,2,1
"609",3,1,3,2,3,3,3,3,4,3,1,4,1,2,1,1,2,1,3,4,4,3,3,3,1,2,3,3,4,2,3,1,3,3,3,4,3,1,3,1,1,4,2,2,1,4,1,5,4,3,4,4,3,3,4,4,3,5,3
"610",2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,3,1,4,1,1,3,1,3,2,1,4,3,1,1,1,1,1,1,4,3,3,3,1,1,1,1,1,1,3,4,4,1,4,1,1,4,4,4,3,1,4,2
"611",1,1,1,1,4,3,3,1,2,1,1,3,1,2,3,2,1,3,2,5,4,4,3,3,1,4,3,4,1,2,3,2,2,1,1,2,3,2,2,1,1,1,3,2,1,3,1,3,2,1,1,4,5,3,3,5,2,3,1
"612",4,1,3,1,3,1,3,1,2,2,1,2,2,1,3,1,1,3,4,3,2,3,2,4,1,2,2,2,4,1,1,1,1,1,2,2,4,2,1,1,1,1,3,2,2,4,1,2,1,3,1,1,2,2,3,1,1,2,1
"613",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1
"614",1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,3,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,3,1,1,1,2,1,1,2,2,2,2,1
"615",3,2,3,1,3,3,2,1,5,1,1,2,1,4,4,2,2,3,1,4,3,3,3,3,3,4,2,3,3,1,3,5,3,1,2,4,2,1,3,2,1,2,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616",2,2,3,2,2,2,1,1,3,1,1,4,2,2,3,1,2,2,1,4,2,3,2,3,1,2,2,2,3,1,2,1,3,1,2,4,2,1,2,2,1,1,2,3,2,3,1,3,3,3,1,1,4,3,3,2,3,4,1
"617",3,1,2,4,4,3,3,2,3,3,2,4,1,1,3,4,4,4,4,2,3,4,4,4,4,4,1,3,3,1,1,1,2,1,3,1,3,5,4,1,1,2,1,4,4,4,3,1,1,2,1,1,3,4,4,1,1,2,1
"618",3,2,3,1,2,3,1,3,4,1,2,3,1,1,2,1,2,1,2,3,3,3,4,4,2,4,3,3,3,1,2,1,3,1,1,4,3,2,3,1,1,2,2,1,1,5,2,4,1,4,1,2,4,3,3,3,3,4,1
"619",4,2,1,3,1,3,1,1,3,2,3,4,2,2,1,2,1,3,5,5,1,3,4,5,2,3,1,4,5,1,1,5,1,3,4,5,2,4,4,1,1,3,3,3,1,3,3,3,3,4,3,3,2,4,5,4,2,3,1
"620",1,1,2,1,1,1,1,1,3,1,1,5,1,1,2,1,1,2,1,4,2,1,3,3,1,1,1,1,3,1,1,3,2,1,1,4,3,3,2,2,1,1,1,1,1,3,3,4,3,4,4,4,3,3,4,4,4,4,1
"621",5,1,4,1,4,1,2,3,5,3,1,5,2,2,3,2,2,3,2,5,2,5,5,3,5,3,3,2,5,1,3,1,1,2,3,3,3,4,5,2,1,3,3,1,1,5,3,4,2,3,2,5,3,2,4,4,3,5,2
"622",5,5,5,4,5,5,5,3,5,2,3,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,2,4,3,5,5,5,5,5,2,4,4
"623",NA,1,4,1,3,4,2,1,4,3,1,3,NA,1,4,4,2,2,3,4,4,3,5,4,3,3,2,4,5,2,2,3,3,NA,2,3,2,4,3,1,1,1,3,2,1,3,3,2,2,2,1,2,1,3,4,3,2,3,2
"624",4,3,4,4,4,5,1,1,5,1,2,3,4,4,2,1,1,3,2,5,4,3,5,3,4,2,2,2,5,2,4,4,5,2,2,5,4,4,2,5,3,3,3,4,3,5,4,5,5,4,3,4,5,5,5,5,5,5,1
"625",2,1,4,2,3,2,3,2,4,1,2,3,1,3,2,2,2,2,3,4,3,3,2,4,1,3,3,2,2,1,2,1,2,2,3,3,3,1,3,2,1,4,3,2,2,5,1,4,3,2,2,2,4,5,2,3,3,3,1
"626",2,2,4,1,4,4,3,1,4,4,3,3,1,4,3,4,1,3,4,4,3,4,4,4,4,3,2,4,1,3,1,1,2,3,2,4,4,2,4,1,1,3,4,1,1,2,1,4,3,4,1,3,1,3,3,4,4,2,4
"627",2,1,4,1,3,2,5,3,3,2,2,4,1,3,2,2,2,2,4,2,2,2,5,3,1,3,2,2,2,1,2,1,5,1,4,3,2,4,2,2,1,3,2,4,2,5,2,5,1,5,1,2,4,4,4,2,2,2,2
"628",3,1,2,2,2,1,1,3,1,1,1,4,1,1,2,1,2,4,2,5,2,1,4,4,2,2,1,3,4,1,1,1,1,1,2,5,3,1,2,2,1,3,1,2,2,2,1,3,1,4,1,3,3,3,4,3,1,4,3
"629",2,1,1,2,3,1,1,1,5,1,1,3,2,1,1,1,1,3,1,4,4,4,3,4,2,2,1,1,2,1,1,1,1,1,1,3,2,1,2,1,1,3,1,2,1,1,1,2,1,3,1,1,3,2,2,1,1,3,1
"630",1,1,1,3,3,1,1,1,4,1,2,3,2,1,2,3,3,3,1,3,1,1,2,3,2,3,1,3,3,1,2,1,3,1,2,2,3,1,3,2,2,1,1,1,1,3,3,4,4,4,1,4,2,5,4,5,4,5,1
"631",4,3,4,4,4,4,2,4,5,4,3,3,3,4,4,3,5,2,4,4,2,4,4,4,4,4,5,4,3,2,3,3,1,3,4,4,4,2,3,4,4,4,3,3,4,4,2,3,1,5,1,1,3,3,3,3,1,3,1
"632",4,1,1,4,4,1,1,1,4,3,1,4,1,2,1,3,3,3,3,4,3,4,2,3,3,3,2,2,4,1,2,4,2,2,2,5,4,2,3,4,1,3,4,2,2,4,3,4,2,4,3,3,5,3,5,3,3,4,3
"633",3,4,3,5,4,4,4,4,5,1,2,5,2,3,1,1,5,5,4,3,4,5,3,4,5,5,4,5,5,1,3,1,4,3,3,4,4,3,5,3,2,4,5,2,4,4,1,3,2,5,3,2,3,5,5,2,3,2,2
"634",2,3,3,3,2,3,2,2,3,2,2,3,2,3,2,2,2,3,3,3,2,3,2,2,1,3,3,3,1,2,1,1,2,2,3,3,3,1,2,2,1,2,2,2,1,4,2,3,3,2,3,3,3,2,3,3,3,3,1
"635",2,2,3,1,3,4,3,5,5,2,2,5,1,2,3,1,2,3,3,5,4,4,3,5,4,3,4,3,4,2,2,4,3,4,3,5,4,4,4,3,1,3,3,4,1,5,2,4,2,3,2,3,3,3,4,4,2,4,2
"636",5,3,4,4,5,3,2,4,4,3,3,4,3,4,4,1,3,4,3,5,3,3,3,1,5,4,3,4,3,1,4,5,2,4,3,5,4,4,3,4,4,5,2,3,3,5,4,3,1,4,1,5,4,5,5,4,1,5,5
"637",2,1,1,2,4,1,1,1,4,3,1,3,1,3,2,1,1,1,4,4,1,3,4,4,4,2,1,4,4,1,3,1,3,1,4,4,2,1,4,3,1,3,2,1,1,4,1,4,3,4,3,5,2,4,4,5,3,4,1
"638",2,1,2,1,3,3,1,2,3,3,1,3,2,2,3,3,3,4,3,3,4,3,3,2,3,3,2,3,3,1,2,1,3,3,2,2,4,1,3,2,1,3,3,1,2,2,2,3,3,2,3,3,3,2,3,3,2,3,2
"639",1,2,1,1,2,3,1,1,3,1,1,3,1,3,2,1,1,4,1,5,3,2,4,4,2,3,4,3,1,1,3,1,3,2,1,4,2,1,3,4,1,1,3,1,1,4,1,3,1,4,1,2,4,4,4,3,2,3,2
"640",5,1,5,4,5,4,3,3,5,1,4,5,1,1,3,2,2,4,4,5,3,5,3,3,4,2,3,4,2,1,2,1,2,1,2,5,4,3,4,2,2,4,4,2,2,5,1,2,1,2,1,1,4,2,4,1,1,5,1
"641",1,1,1,1,2,1,1,1,4,2,1,3,1,1,1,1,1,1,3,4,2,3,2,3,1,1,1,1,3,1,1,1,1,1,3,3,3,1,1,2,1,3,1,1,1,3,1,3,1,3,1,1,4,1,2,1,1,3,1
"642",2,3,3,2,4,3,1,4,4,1,3,4,4,3,4,4,4,3,4,4,3,4,4,4,2,4,3,4,4,1,3,4,3,5,4,4,3,2,2,3,3,2,3,4,3,3,2,3,2,4,2,3,3,4,4,4,3,3,4
"643",NA,2,2,2,2,2,2,1,3,1,1,2,2,2,2,1,1,2,1,3,2,2,2,2,2,NA,NA,1,3,1,1,1,3,1,1,2,NA,2,2,1,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644",2,1,2,1,2,3,1,1,4,1,2,3,1,3,4,1,2,1,3,4,1,3,1,2,1,3,3,1,4,1,3,1,1,1,1,2,1,1,1,2,1,3,2,1,1,1,3,3,1,2,1,2,1,1,4,3,1,3,3
"645",3,2,3,5,3,3,3,4,5,4,5,5,4,4,4,3,5,4,1,4,5,5,5,5,3,5,5,5,4,3,3,3,3,4,4,4,3,3,3,5,5,3,3,5,2,5,4,1,1,3,1,3,5,4,3,2,1,5,2
"646",3,1,3,4,4,4,5,5,5,2,2,3,1,3,3,2,5,5,2,4,3,3,4,5,4,4,3,3,5,1,4,1,2,2,4,4,5,3,4,2,1,4,3,3,2,4,1,5,1,3,1,1,5,1,5,1,1,3,1
"647",4,1,4,3,2,2,4,1,4,3,1,4,1,3,4,1,1,1,5,1,3,3,4,1,2,3,2,5,5,1,3,1,5,3,5,2,2,2,3,2,1,5,1,3,1,5,1,2,2,1,3,2,1,2,1,1,2,1,1
"648",4,1,4,2,3,2,1,1,1,3,1,4,1,4,4,1,2,4,2,3,3,5,1,2,1,5,1,1,1,1,4,1,1,1,1,2,1,1,1,4,1,1,1,1,3,4,1,2,1,4,1,1,5,3,5,1,2,4,1
"649",3,2,4,2,3,3,3,2,5,4,2,4,3,3,3,4,2,2,4,4,4,3,3,5,2,3,2,3,4,2,3,1,3,2,3,4,4,1,3,2,1,3,2,3,3,5,2,3,3,3,2,4,4,3,4,4,4,4,2
"650",2,1,2,1,2,1,1,1,1,1,1,3,1,1,3,1,3,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,2,1,2,1,3,1,1,2,2,3,2,1,3,1
"651",4,3,3,3,4,3,3,5,5,1,3,4,2,3,3,3,2,4,4,5,5,4,4,4,5,4,4,5,5,1,4,2,5,3,2,5,4,2,4,4,3,2,5,4,2,5,3,3,3,5,3,2,4,4,4,3,4,3,3
"652",1,1,3,1,4,1,1,5,3,1,1,1,1,1,1,3,1,3,2,5,1,2,1,3,3,3,1,1,1,1,1,1,1,1,2,5,1,2,3,1,1,1,1,1,1,4,1,4,4,1,1,3,3,3,3,4,4,4,1
"653",3,1,2,3,3,2,4,4,4,1,3,4,1,2,4,2,2,3,3,5,4,3,3,4,2,4,2,4,2,1,2,1,2,2,3,3,3,1,3,2,1,2,2,2,2,4,2,4,3,3,1,2,4,2,2,4,3,4,2
"654",3,1,4,1,3,2,3,3,4,1,1,3,2,1,3,1,1,2,4,2,3,3,3,3,4,3,1,2,4,1,1,2,2,2,1,1,3,1,1,2,1,1,3,2,2,4,1,2,2,2,1,3,1,2,2,3,2,3,1
"655",3,2,2,3,4,2,1,2,4,2,2,4,1,1,4,2,1,3,3,3,4,5,2,3,2,3,2,2,3,1,1,1,1,2,3,3,2,1,3,3,1,4,3,1,1,5,2,5,2,3,1,4,3,3,4,4,3,4,1
"656",5,3,4,4,5,3,4,3,5,3,3,5,2,5,1,4,5,4,4,5,4,5,5,5,3,4,4,4,5,3,2,5,1,3,4,5,5,2,5,2,1,4,4,5,5,5,4,5,4,5,2,3,3,5,5,3,5,5,4
"657",5,3,2,3,4,3,1,3,4,3,1,3,2,4,2,4,1,4,4,4,4,3,4,5,3,3,4,4,5,2,4,1,5,4,5,3,5,5,3,3,1,3,4,2,3,3,3,3,4,3,3,5,4,3,5,5,3,4,3
"658",3,2,3,4,3,2,1,1,2,2,1,5,2,1,4,2,3,5,3,4,4,5,4,4,2,3,3,3,1,2,1,4,4,2,3,4,4,2,1,3,1,1,2,1,1,4,4,5,1,4,1,2,4,5,5,2,2,4,1
"659",3,1,4,4,2,2,1,1,4,1,2,3,4,4,3,1,2,1,4,3,2,2,2,3,3,4,2,3,2,1,4,1,1,4,2,3,2,2,1,3,1,3,3,1,2,3,1,2,2,2,2,2,5,1,4,2,2,3,3
"660",5,4,5,5,5,4,5,5,5,4,5,5,1,2,5,4,3,5,3,5,5,5,5,5,3,4,5,5,5,3,1,1,5,5,2,5,5,4,5,4,1,2,3,2,2,4,4,3,2,5,3,3,5,5,5,4,3,3,2
"661",5,1,4,4,3,3,5,4,4,4,1,4,3,3,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,5,5,3,4,5,4,1,4,4,4,4,3,5,5,5,3,3,4,5,1,4,4,5,5,3,1,3,4
"662",2,3,4,4,3,5,1,3,4,3,3,4,2,3,3,3,2,2,4,5,4,4,5,4,4,4,3,5,5,2,2,1,5,4,3,4,4,3,4,4,4,3,3,4,2,5,3,3,3,4,1,3,1,4,4,3,3,3,3
"663",3,1,4,3,4,2,2,3,4,1,1,3,1,1,3,1,2,3,2,3,3,2,3,3,3,3,1,4,3,1,1,1,1,1,2,1,4,1,4,1,1,3,3,1,2,3,2,4,1,2,1,3,4,3,3,4,2,3,1
"664",3,1,1,1,3,2,1,1,3,2,1,3,1,2,3,1,1,1,1,3,4,3,3,4,1,2,2,4,4,1,3,3,1,1,4,3,2,2,5,2,1,2,1,2,1,4,4,4,3,4,2,1,3,4,4,3,3,3,4
"665",1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666",2,2,2,2,3,1,2,1,2,1,1,2,1,2,2,3,2,2,1,3,2,2,2,2,2,2,1,3,3,1,2,1,2,2,3,NA,1,2,3,3,2,3,3,2,2,3,2,2,2,3,2,2,2,3,3,3,2,3,1
"667",3,3,3,2,2,2,1,1,4,1,1,3,1,1,3,1,2,3,2,4,1,2,1,1,1,2,1,2,3,1,1,3,2,1,3,4,3,2,2,2,1,1,2,1,1,3,3,2,2,3,1,3,2,1,3,3,2,3,1
"668",5,4,4,4,5,5,5,4,4,5,5,5,5,5,3,4,3,4,4,4,4,5,5,3,4,4,4,4,3,4,5,5,4,5,4,5,5,5,3,4,4,3,4,3,4,4,5,3,4,5,3,3,5,4,4,3,4,4,3
"669",4,4,5,2,4,4,4,3,4,2,4,4,1,1,4,1,4,4,2,3,3,5,4,2,3,3,3,3,3,1,1,1,4,3,1,4,4,2,2,1,2,2,4,3,4,2,3,3,1,4,1,2,4,5,4,4,4,3,4
"670",3,2,4,2,4,3,2,3,4,2,2,4,3,3,3,1,2,3,3,4,3,3,4,5,3,2,1,2,3,3,2,1,4,2,3,4,4,2,3,3,2,4,4,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671",2,1,3,1,2,2,2,2,4,1,2,2,3,2,NA,1,1,3,3,4,3,3,5,3,1,2,1,3,2,1,3,4,4,1,1,4,1,1,1,2,1,2,2,3,2,4,2,3,3,3,3,2,4,3,2,3,3,3,1
"672",1,1,3,3,1,4,1,4,5,3,3,3,1,1,2,3,3,4,4,3,3,3,5,4,1,3,2,3,3,1,1,1,2,3,2,5,2,4,2,2,1,2,1,1,3,4,1,3,2,4,1,3,3,4,4,3,3,3,1
"673",5,3,1,3,3,3,2,1,2,3,4,4,1,2,3,1,3,4,3,5,2,4,3,5,2,3,3,1,3,2,2,1,2,3,5,5,4,1,3,2,1,3,2,2,1,1,1,2,2,4,2,4,2,2,4,2,4,3,3
"674",5,4,3,1,4,4,3,3,5,3,4,4,2,2,5,1,2,1,3,4,3,4,3,4,2,3,2,4,3,1,3,3,3,2,3,5,3,1,2,3,1,1,2,1,1,3,1,3,1,3,1,3,4,5,4,3,2,2,1
"675",4,2,4,3,3,3,4,2,5,3,2,4,5,4,5,3,2,3,2,2,3,4,3,4,1,4,3,4,1,1,4,4,2,3,1,3,4,3,3,4,3,1,3,1,1,4,2,5,3,5,3,3,3,5,4,3,5,4,1
"676",4,2,5,4,4,3,3,2,4,4,3,4,2,3,2,5,2,5,4,5,5,4,4,3,4,3,4,3,3,3,2,4,3,3,4,4,4,4,3,4,1,2,3,3,2,5,3,4,4,4,1,5,4,4,4,5,4,5,3
"677",2,1,3,2,2,2,2,1,4,1,1,1,1,2,3,2,3,3,3,2,2,1,2,3,1,3,1,1,4,2,2,2,1,1,3,3,2,1,4,2,1,2,1,1,1,3,2,3,3,3,3,4,3,2,3,4,3,3,2
"678",4,1,4,1,4,4,4,5,4,2,3,5,1,3,3,2,2,5,3,5,4,3,5,5,5,4,2,3,4,1,3,1,5,3,4,4,4,4,3,4,2,4,3,5,1,5,2,5,4,3,3,5,4,4,5,5,3,5,4
"679",2,1,2,2,2,3,2,1,2,1,1,2,3,2,1,1,1,1,1,3,3,2,1,4,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,3,2,3,1,4,1,3,3,2,3,3,1,2,2
"680",1,1,4,2,1,2,1,1,5,3,1,4,1,3,1,2,4,3,5,2,4,4,4,4,2,3,4,4,3,3,4,4,3,3,5,2,4,3,3,2,1,1,4,2,4,4,3,3,2,4,1,4,3,5,5,5,1,4,2
"681",4,1,3,1,4,2,4,1,5,1,3,3,4,2,2,1,1,4,5,5,1,5,4,5,3,3,5,2,3,1,2,5,2,1,3,5,4,5,5,2,4,3,2,1,1,3,1,4,4,5,2,3,5,5,5,5,4,4,3
"682",4,3,4,5,5,4,5,5,5,4,3,5,1,4,5,4,4,5,4,5,5,5,4,5,4,5,3,4,5,3,5,1,4,4,3,5,4,5,5,4,1,3,4,4,5,5,5,4,4,4,4,5,4,5,4,5,3,5,3
"683",1,2,2,1,2,3,1,2,4,1,2,4,1,1,3,1,1,1,1,3,1,3,2,1,1,2,3,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,1,3,1,3,1,2,2,2,2,2,1,3,1
"684",3,1,2,2,4,3,3,4,5,2,3,5,3,2,3,3,1,5,2,5,5,5,5,5,1,4,2,5,4,1,1,4,1,3,1,5,4,5,3,3,1,2,3,4,1,5,3,3,1,3,1,5,4,3,3,5,2,4,4
"685",2,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,3,3,4,3,2,1,1,1,1,1,2,4,2,2,2,1,1,2,2,1,1,2,1,1,2,1,1,1,4,1,3,1,1,1,1,1,1,2,1,1,3,1
"686",1,2,1,1,1,1,2,1,4,1,1,2,1,1,1,1,1,1,2,1,2,3,2,3,2,2,2,1,4,1,1,1,2,1,2,1,1,1,3,1,1,2,1,1,1,3,1,3,1,1,1,3,1,1,2,3,1,3,1
"687",2,1,2,3,3,2,2,1,3,1,2,3,3,3,3,1,2,3,2,3,2,2,3,3,1,3,2,2,3,1,3,1,3,3,2,2,3,3,3,3,2,2,3,2,2,3,3,4,1,3,1,3,3,3,3,3,1,3,2
